lon,lat,datetime
-79.11744792,27.23858842,2014-10-21
-79.12728655,27.24307571,2014-10-22
-79.12137473,27.25272381,2014-10-23
-79.12472055,27.25730304,2014-10-24
-79.16566167,27.24731556,2014-10-25
-79.20695865,27.23400109,2014-10-26
-79.24585505,27.21936444,2014-10-27
-79.28042114,27.20450474,2014-10-28
-79.30872719,27.19052171,2014-10-29
-79.32884347,27.17851559,2014-10-30
-79.33884024,27.16958703,2014-10-31
-79.33678779,27.16483683,2014-11-01
-79.32464365,27.16386937,2014-11-02
-79.28862842,27.16840086,2014-11-03
-79.23416037,27.17511273,2014-11-04
-79.18345723,27.18323018,2014-11-05
-79.16000276,27.19068381,2014-11-06
-79.17145242,27.19625828,2014-11-07
-79.18678695,27.20054412,2014-11-08
-79.19035743,27.20328408,2014-11-09
-79.18749831,27.20408526,2014-11-10
-79.18301778,27.20284922,2014-11-11
-79.17647621,27.19909788,2014-11-12
-79.17268586,27.19152969,2014-11-13
-79.16746724,27.18088508,2014-11-14
-79.15737375,27.16762077,2014-11-15
-79.14245236,27.15117945,2014-11-16
-79.12842067,27.13341473,2014-11-17
-79.1189751,27.11570143,2014-11-18
-79.11913602,27.10203608,2014-11-19
-79.12790977,27.0992199,2014-11-20
-79.18500526,27.1123532,2014-11-21
-79.19487428,27.13134261,2014-11-22
-79.19208837,27.15333176,2014-11-23
-79.19009621,27.17884895,2014-11-24
-79.18741469,27.20402415,2014-11-25
-79.18595386,27.22102533,2014-11-26
-79.16921247,27.2810742,2014-11-27
-79.15963391,27.31497531,2014-11-28
-79.16338801,27.29144042,2014-11-29
-79.17363646,27.24573892,2014-11-30
-79.18644979,27.20065388,2014-12-01
-79.20004754,27.16788387,2014-12-02
-79.21314672,27.14434225,2014-12-03
-79.22508288,27.12914098,2014-12-04
-79.23519157,27.12138947,2014-12-05
-79.24280832,27.12019528,2014-12-06
-79.24726868,27.12466463,2014-12-07
-79.24790818,27.13390291,2014-12-08
-79.24406239,27.14701512,2014-12-09
-79.23506683,27.1631062,2014-12-10
-79.22116834,27.18091787,2014-12-11
-79.20119832,27.19951457,2014-12-12
-79.18261071,27.21466982,2014-12-13
-79.17071588,27.22373882,2014-12-14
-79.16549658,27.22484416,2014-12-15
-79.16429493,27.22177139,2014-12-16
-79.16677145,27.21617648,2014-12-17
-79.17207441,27.20989193,2014-12-18
-79.18013134,27.20422049,2014-12-19
-79.18631769,27.19939183,2014-12-20
-79.18675662,27.19560466,2014-12-21
