,lon,lat,datetime,adt,ugos,vgos,vgosa,err,sla,ugosa,mag
0,-78.98439223,27.18793505,2014-11-15,0.7547,-0.1131,-0.13040000000000002,-0.1345,0.030100000000000002,0.07440000000000001,-0.09190000000000001,0.17261451271547246
1,-78.95282498,27.17238578,2014-11-16,0.761,-0.11610000000000001,-0.1199,-0.124,0.031400000000000004,0.08070000000000001,-0.09480000000000001,0.16689883163162048
2,-78.92459844,27.15675044,2014-11-17,0.7579,-0.1178,-0.1067,-0.11080000000000001,0.033,0.0776,-0.0965,0.15893939096397722
3,-78.91246217,27.14615786,2014-11-18,0.7619,-0.0891,-0.052000000000000005,-0.0562,0.032100000000000004,0.0816,-0.0678,0.10316399565739977
4,-78.92916575,27.14573839,2014-11-19,0.7529,-0.0526,-0.0374,-0.0415,0.0327,0.0726,-0.0313,0.0645408397838144
5,-78.98745872,27.16062035,2014-11-20,0.7529,-0.0468,0.031200000000000002,0.027,0.0333,0.0726,-0.025500000000000002,0.056246599897238236
6,-79.09873853,27.19541617,2014-11-21,0.7732,-0.0292,0.1163,-0.0777,0.0233,0.09770000000000001,-0.0172,0.11990967433864543
7,-79.2743831,27.25507958,2014-11-22,0.7154,0.0014,0.48040000000000005,-0.21180000000000002,0.0184,0.11380000000000001,0.0252,0.48040203996236325
8,-79.39490929,27.30909778,2014-11-23,0.7137,-0.0073,0.44270000000000004,-0.2495,0.0182,0.1121,0.0166,0.44276018339502937
9,-79.48233566,27.35695499,2014-11-24,0.7060000000000001,-0.022000000000000002,0.3936,-0.29860000000000003,0.0179,0.1044,0.0019,0.39421435793233106
10,-79.49109774,27.38322669,2014-11-25,0.7012,-0.0058000000000000005,0.3704,-0.32180000000000003,0.0178,0.09960000000000001,0.0181,0.3704454075838976
11,-79.37329968,27.37008661,2014-11-26,0.6988000000000001,0.0054,0.3461,-0.3461,0.0177,0.09730000000000001,0.0292,0.34614212398955435
12,-79.27108191,27.35650795,2014-11-27,0.6957,0.00030000000000000003,0.35760000000000003,-0.3346,0.0178,0.0941,0.0241,0.35760012583890405
13,-79.25583472,27.35516011,2014-11-28,0.6862,-0.0022,0.333,-0.3592,0.0178,0.08460000000000001,0.0216,0.33300726718796997
14,-79.20201259,27.33428513,2014-11-29,0.7337,0.0494,0.32830000000000004,0.1246,0.0184,0.057300000000000004,0.0539,0.33199585840790247
15,-79.14626861,27.31705843,2014-11-30,0.7329,0.0253,0.3415,0.1378,0.0187,0.056400000000000006,0.0297,0.34243589181042344
16,-79.14639479,27.32614589,2014-12-01,0.7367,0.013800000000000002,0.3511,0.14750000000000002,0.019100000000000002,0.0603,0.0183,0.3513711001206559
17,-79.16867927,27.35942524,2014-12-02,0.7423000000000001,-0.0086,0.3446,0.1409,0.0193,0.0659,-0.0041,0.3447072961223768
18,-79.12635561,27.39681302,2014-12-03,0.7456,-0.029,0.3417,0.138,0.019200000000000002,0.06910000000000001,-0.0245,0.34292840360635046
19,-79.0962681,27.44285587,2014-12-04,0.7476,-0.0558,0.3185,0.1148,0.0187,0.0712,-0.0514,0.3233510321616432
20,-79.0676465,27.48742442,2014-12-05,0.7533000000000001,-0.0632,0.2644,0.0608,0.0177,0.07690000000000001,-0.0587,0.27184848721300625
