,lon,lat,datetime,analysed_sst,analysis_error,mask,sea_ice_fraction
85,-77.59744867,29.91731843,2015-02-20,294.781,0.41,1,-1.28
86,-77.45709759,29.72517665,2015-02-21,293.925,0.4,1,-1.28
87,-76.86351891,29.95806553,2015-02-22,294.897,0.38,1,-1.28
88,-77.31863129,29.22144423,2015-02-23,294.355,0.39,1,-1.28
89,-78.19069477,28.17193688,2015-02-24,296.866,0.38,1,-1.28
90,-78.6569989,27.66171836,2015-02-25,296.18,0.38,1,-1.28
91,-78.83107333,27.49597827,2015-02-26,298.373,0.37,1,-1.28
92,-78.98215129,27.26043048,2015-02-27,296.907,0.38,1,-1.28
93,-79.3091988,26.66331953,2015-02-28,298.165,0.39,1,-1.28
94,-79.17217886,26.5749304,2015-03-01,298.599,0.38,1,-1.28
95,-78.72352452,27.11956003,2015-03-02,296.577,0.39,1,-1.28
96,-78.42147926,27.62368974,2015-03-03,296.886,0.37,1,-1.28
97,-78.32016331,27.95935666,2015-03-04,296.815,0.37,1,-1.28
98,-78.4736969,27.99969875,2015-03-05,297.599,0.37,1,-1.28
99,-78.90031995,27.65927058,2015-03-06,298.598,0.37,1,-1.28
